,6,,,7,,,8,,,Extended Time,
HR,7:00:00 AM,7:30:00 AM,HR,7:00:00 AM,7:30:00 AM,HR,7:00:00 AM,7:30:00 AM,HR,7:00:00 AM,7:30:00 AM
Move to Test Locations,7:30:00 AM,7:35:00 AM,Move to Test Locations,7:30:00 AM,7:35:00 AM,Move to Test Locations,7:30:00 AM,7:35:00 AM,Move to Test Locations,7:30:00 AM,7:35:00 AM
Pass out ELA Sub 1 Test & Materials. Read directions.,7:35:00 AM,7:50:00 AM,Pass out ELA Sub 1 Test & Materials. Read directions.,7:35:00 AM,7:50:00 AM,Pass out ELA Sub 1 Test & Materials. Read directions.,7:35:00 AM,7:50:00 AM,Pass out ELA Sub 1 Test & Materials. Read directions.,7:35:00 AM,7:50:00 AM
ELA Sub 1 Test,7:50:00 AM,9:32:00 AM,ELA Sub 1 Test,7:50:00 AM,9:32:00 AM,ELA Sub 1 Test,7:50:00 AM,9:32:00 AM,ELA Sub 1 Test,7:50:00 AM,10:14:00 AM
Collect Test & Materials and Restroom Break,9:32:00 AM,9:50:00 AM,Collect Test & Materials and Restroom Break,9:32:00 AM,9:50:00 AM,Collect Test & Materials and Restroom Break,9:32:00 AM,11:00:00 AM,Collect Test & Materials and Restroom Break,10:14:00 AM,10:40:00 AM
Pass out ELA Sub 2 Test & Materials. Read directions.,9:50:00 AM,10:00:00 AM,LUNCH,9:55:00 AM,11:35:00 AM,LUNCH,11:00:00 AM,12:15:00 PM,Pass out ELA Sub 2 Test & Materials. Read directions.,10:40:00 AM,10:50:00 AM
ELA Sub 2 Test,10:00:00 AM,11:00:00 AM,Pass out ELA Sub 2 Test & Materials. Read directions.,11:35:00 AM,11:45:00 AM,Pass out ELA Sub 2 Test & Materials. Read directions.,12:15:00 PM,12:25:00 PM,ELA Sub 2 Test,10:50:00 AM,12:15:00 PM
Collect Test & Materials. Collection in hallway.,11:00:00 AM,11:05:00 AM,ELA Sub 2 Test,11:45:00 AM,12:45:00 PM,ELA Sub 2 Test,12:25:00 PM,1:25:00 PM,Collect Test & Materials. Collection in hallway.,12:15:00 PM,12:20:00 PM
LUNCH,11:05:00 AM,1:00:00 PM,Collect Test & Materials. Collection in hallway.,12:45:00 PM,1:00:00 PM,Collect Test & Materials. Collection in hallway.,1:25:00 PM,1:40:00 PM,LUNCH,12:20:00 PM,1:00:00 PM
HR,1:00:00 PM,2:15:00 PM,HR,1:00:00 PM,2:15:00 PM,HR,1:40:00 PM,2:15:00 PM,HR,1:00:00 PM,2:15:00 PM
Lunches,,,,,,,,,,,
Lackey - Barger - Stritzel - Lemmon - Campbell - Connelly - Welch - Brockley,12:05:00 PM,12:35:00 PM,Coleman - Brown - Abernathy - Mabry - Nelson - Puckett,9:55:00 AM,10:25:00 AM,Richard - Pennington - Kentner - Attardi - DeLong - Fox,11:00:00 AM,11:30:00 AM,All Small Groups,12:12:00 PM,1:00:00 PM,
Levin - Moore - Lee - Hartz - Hicks - Alford - King - Shepherd,12:30:00 PM,1:00:00 AM,Richards - Plockelman - Shaffer - Elkins - Williams - Tue,10:25:00 AM,10:55:00 AM,Roberts - Patton - Crozier - Lelito - Kinser - McClellan,11:30:00 AM,12:00:00 PM,,,
